10001|2026-09-06 23:09:24|INITIAL_DEP|100000.000000|100000.000000
10001|2026-09-06 23:12:02|DEPOSIT|1000.000000|101000.000000
10001|2026-09-06 23:12:09|DEPOSIT|1234.000000|102234.000000
10001|2026-09-06 23:12:17|WITHDRAWAL|1234.000000|101000.000000
10001|2026-09-06 23:13:16|FD_CREATION|15000.000000|86000.000000
10002|2026-09-06 23:21:54|INITIAL_DEP|100000.000000|100000.000000
10001|2026-09-06 23:25:23|DEPOSIT|1234.000000|87234.000000
10001|2026-09-06 23:25:28|DEPOSIT|456.000000|87690.000000
10001|2026-09-06 23:25:31|DEPOSIT|20.000000|87710.000000
10001|2026-09-06 23:25:33|DEPOSIT|567.000000|88277.000000
10001|2026-09-06 23:25:38|WITHDRAWAL|234.000000|88043.000000
